"nhood","pwhite","pblack","pasian","phisp"
"Bayview Hunters Point",5.65798864382278,45.3222813840078,26.2724933744207,16.2968125420579
"Bernal Heights",38.5179508030047,6.56070877231794,16.8763558110475,33.3600042478573
"Castro/Upper Market",77.0620016422834,2.86059893555587,7.25897971911243,9.03131567160392
"Chinatown",10.4178272980501,1.01671309192201,84.7423398328691,1.991643454039
"Excelsior",16.9976110986068,2.112561338501,44.6794607427745,32.5356494900686
"Financial District/South Beach",60.3422948555876,6.5303842864455,22.8986736058815,6.30084358943184
"Glen Park",60.7227120327828,7.30162672296039,12.9268595554452,14.1686328076493
"Golden Gate Park",66.4233576642336,7.2992700729927,5.10948905109489,18.978102189781
"Haight Ashbury",74.8721265212535,7.87230289846552,6.42013051913693,6.53183608677759
"Hayes Valley",58.2737215489211,18.3978717114987,7.99881761749926,10.1093703813184
"Inner Richmond",47.4777999907016,1.58538286298759,43.0563949974429,4.44465107629364
"Inner Sunset",57.2405128773602,1.90296715072239,31.2049661900011,5.52414735986402
"Japantown",44.3887496519075,17.4881648565859,29.3233082706767,5.45808966861598
"Lakeshore",46.4850194684824,6.21040093409519,32.5630443447771,8.54785528888236
"Lincoln Park",64.0692640692641,9.09090909090909,16.017316017316,8.22510822510823
"Lone Mountain/USF",58.5746102449889,8.18654248498347,20.8881689950732,7.30917189714517
"Marina",83.4839916284455,0.503183862492764,9.65400543260453,3.91859999109409
"McLaren Park",3.88349514563107,15.7766990291262,53.6407766990291,21.6019417475728
"Mission",32.5255049074064,2.97332473386059,11.0112636552599,50.0730764346067
"Mission Bay",54.1420068671592,10.3550288533693,24.2603531385926,6.95266214261166
"Nob Hill",51.6034877706348,2.1133525456292,36.2336510751496,6.31050025862706
"Noe Valley",72.0771057410253,2.39791404758579,9.28900684453136,12.3061880150859
"North Beach",50.6615627860531,1.91395523009071,40.9087126570692,4.21070150619955
"Oceanview/Merced/Ingleside",13.1710530701754,24.6622798245614,44.5438596491228,13.7982447368421
"Outer Mission",17.6543268525188,1.65813851652454,49.7634019503743,27.973630623429
"Outer Richmond",45.0240050253511,1.46273612419796,45.358280612016,4.39493875353345
"Pacific Heights",77.7763413057531,3.22775263951735,12.2430510665805,4.02930402930403
"Portola",17.1698113207547,7.2804163955758,50.5855562784645,21.327260897853
"Potrero Hill",59.447922595333,15.9836812749004,7.73098083855056,11.2407512805919
"Presidio",71.7547000895255,4.56580125335721,7.52014324082363,9.4449418084154
"Presidio Heights",73.5237710709599,3.26032098516201,15.7969112748562,4.24952054103159
"Russian Hill",61.579681830868,1.07172760256768,31.1415026514095,3.56126151269886
"Seacliff",76.4177886576907,0.448796409628723,17.5846593227254,3.10077519379845
"South of Market",34.498503480138,14.7940790614034,33.385102323462,12.0128866683829
"Sunset/Parkside",38.0736719033476,1.12348980661461,52.7233876711776,4.7264517342866
"Tenderloin",36.3416797089511,9.9370143465129,30.8797971581549,16.4522624931356
"Treasure Island",61.8031658637302,12.1128699242946,11.3558155540262,10.1858224363386
"Twin Peaks",66.5088065169373,6.66369852343441,15.2766931837208,7.59227067880782
"Visitacion Valley",7.00005640822337,19.544656510166,49.3855122614261,17.902248400068
"West of Twin Peaks",54.619111204246,3.05897987820992,29.7018936749449,8.75662478467202
"Western Addition",42.6442933603356,26.8093934133758,18.8726553835768,6.63966440040503
